fecha_publicacion,titulo,keyword_principal,keywords_secundarias,intencion,categoria,longitud_aprox_palabras,internal_link_destino,cta,prioridad
2026-05-09,"Qué es el SEO local y por qué tu negocio de la Costa del Sol lo necesita en 2026","qué es seo local","seo local malaga, posicionamiento local, google my business",informacional,"Pilar / Top funnel",1800,/servicios/seo-local,"Auditoría gratis 48h",alta
2026-05-10,"Cuánto cuesta posicionar una web en Google: precios reales del SEO en Málaga (2026)","cuánto cuesta el seo","precio seo, presupuesto seo, tarifas seo malaga",comercial,"Decisión / MoF",1500,/servicios/auditoria-seo,"Auditoría gratis 48h",alta
2026-05-11,"Diferencia entre SEO y SEM: cuál te conviene si tienes un negocio en la Costa del Sol","diferencia seo y sem","seo vs sem, ads vs organico, marketing digital malaga",informacional,"ToF",1300,/servicios/seo-local,"Auditoría gratis 48h",alta
2026-05-12,"Cómo aparecer en Google Maps: guía paso a paso para negocios de Málaga","aparecer en google maps","google my business, mapa google, pack local",informacional,"Tutorial",1700,/servicios/seo-local,"Auditoría gratis 48h",alta
2026-05-13,"SEO para inmobiliarias en Marbella: cómo captar compradores extranjeros","seo inmobiliaria marbella","seo real estate marbella, seo agente inmobiliario",comercial,"Sectorial",1600,/seo-marbella,"Auditoría gratis 48h",alta
2026-05-14,"Errores SEO más comunes en pymes de la Costa del Sol (y cómo evitarlos)","errores seo comunes","fallos seo, mitos seo, problemas seo pyme",informacional,"ToF",1400,/servicios/auditoria-seo,"Auditoría gratis 48h",media
2026-05-15,"Cómo conseguir reseñas en Google My Business sin pedirlas a la cara","conseguir reseñas google","reviews google, reseñas gmb, reviews negocio local",tutorial,"Tutorial",1100,/servicios/seo-local,"Auditoría gratis 48h",media
2026-05-16,"SEO para clínicas dentales en Málaga: guía 2026","seo clinica dental malaga","seo dentista malaga, posicionamiento dentista",comercial,"Sectorial",1700,/seo-malaga,"Auditoría gratis 48h",alta
2026-05-17,"Schema markup para negocios locales: qué es y por qué importa","schema markup local","datos estructurados local business, json-ld negocio",técnica,"Avanzado",1500,/servicios/seo-local,"Auditoría gratis 48h",media
2026-05-18,"Search Console para principiantes: la guía que te debió dar Google","search console tutorial","gsc para empezar, google search console basico",tutorial,"Tutorial",1800,/servicios/auditoria-seo,"Auditoría gratis 48h",alta
2026-05-19,"Cómo medir el ROI del SEO sin volverte loco con métricas inútiles","roi del seo","medir seo, kpis seo, retorno seo",informacional,"MoF / Decisión",1400,/servicios/auditoria-seo,"Auditoría gratis 48h",alta
2026-05-20,"SEO para apartamentos turísticos en la Costa del Sol: cómo ganar a Booking","seo apartamentos turisticos","seo airbnb, alquiler vacacional seo, vrbo seo",comercial,"Sectorial",1700,/seo-torremolinos,"Auditoría gratis 48h",alta
2026-05-21,"Velocidad web: por qué tu web tarda más de 3 segundos en cargar (y qué hacer)","velocidad web seo","core web vitals, lcp pagina lenta, optimizar velocidad web",técnica,"Avanzado",1500,/servicios/auditoria-seo,"Auditoría gratis 48h",media
2026-05-22,"Cómo escribir títulos que Google muestra en el top 3","escribir titulos seo","title tag seo, meta titulo, ctr seo",tutorial,"Tutorial",1200,/servicios/auditoria-seo,"Auditoría gratis 48h",media
2026-05-23,"SEO para fisios y clínicas de fisioterapia en Málaga","seo fisioterapia malaga","seo fisio, posicionamiento fisioterapeuta",comercial,"Sectorial",1500,/seo-malaga,"Auditoría gratis 48h",media
2026-05-24,"Backlinks: qué enlaces sí ayudan en SEO local de la Costa del Sol","backlinks seo local","enlaces locales, link building costa del sol",informacional,"MoF",1600,/servicios/link-building,"Auditoría gratis 48h",alta
2026-05-25,"Por qué tu web está penalizada (aunque no lo sepas)","penalizacion google","web penalizada, manual action, perdida trafico seo",técnica,"Avanzado",1500,/servicios/auditoria-seo,"Auditoría gratis 48h",media
2026-05-26,"SEO para academias de idiomas en la Costa del Sol","seo academia idiomas","seo academia inglés, seo escuela idiomas",comercial,"Sectorial",1400,/seo-fuengirola,"Auditoría gratis 48h",media
